Custid,Rcn,Frq,Mnt,Clothes,Kitchen,SmallAppliances,HouseKeeping,Toys,NetPurchase,StorePurchase,Recomendation,Credit_Card
1807,94,23,566.8,59,3,34,2,2,58,42,2,
1808,7,8,43.68,31,12,16,19,23,40,60,2,
1809,40,16,192.4,27,11,46,10,5,66,34,4,
1811,6,31,1387.36,57,6,35,1,1,20,80,6,
1812,72,9,76.96,60,7,26,1,6,47,53,3,
1818,20,7,37.44,24,23,7,29,17,36,64,4,
1822,68,24,743.6,30,10,30,15,15,42,58,3,
1825,50,49,2628.08,41,3,50,3,2,11,89,5,
1834,61,44,1865.76,50,6,35,7,2,61,39,6,
1836,41,25,687.44,74,1,23,1,1,51,49,4,
1837,39,21,569.92,69,2,27,1,1,48,52,3,
1841,66,12,187.2,55,3,35,4,3,45,55,4,
1844,29,12,125.84,55,1,25,4,15,61,39,4,
1847,90,14,188.24,73,1,22,3,2,57,43,5,
1854,86,30,1252.16,56,4,37,0,3,31,69,5,
1860,61,19,408.72,89,2,9,0,0,64,36,3,
1866,39,38,1933.36,49,1,41,5,4,13,87,5,
1867,20,10,50.96,74,2,23,1,0,65,35,3,
1870,59,7,22.88,49,26,13,7,6,40,60,5,
1873,27,31,1459.12,57,0,34,1,7,18,82,5,
1876,56,16,401.44,42,13,26,11,8,34,66,5,
1877,69,26,1188.72,21,3,57,7,12,15,85,6,
1881,58,18,559.52,39,0,36,22,3,26,74,5,
1886,53,31,1257.36,82,3,12,1,3,32,68,6,
1889,91,11,55.12,39,6,38,6,11,62,38,3,
1903,10,9,43.68,73,0,24,3,0,53,47,3,
1904,63,34,1460.16,64,4,25,4,3,26,74,5,No
1907,72,24,738.4,65,2,26,2,5,43,57,4,
1908,27,36,1732.64,50,2,33,7,8,12,88,5,
1917,70,22,557.44,54,5,31,9,1,47,53,3,
1920,57,27,993.2,93,0,6,0,0,35,65,4,
1924,6,10,54.08,58,4,31,2,5,53,47,2,
1925,2,13,225.68,77,0,20,2,1,55,45,3,
1930,29,8,68.64,59,3,36,2,1,48,52,2,
1933,16,11,33.28,6,35,17,27,15,64,36,3,
1944,64,41,2058.16,19,23,33,23,2,14,86,6,
1959,64,35,1737.84,27,13,30,15,15,12,88,5,No
1962,182,5,9.36,47,1,35,9,8,55,45,2,
1967,78,31,1059.76,85,0,12,2,1,59,41,5,
1973,55,13,125.84,58,1,34,4,3,72,28,5,
1978,22,36,1591.2,37,1,51,6,5,27,73,6,
1988,43,16,225.68,37,7,43,7,6,64,36,3,
1993,82,6,32.24,79,2,18,1,0,51,49,3,
1994,40,38,1667.12,76,1,17,5,0,46,54,5,
2000,52,10,68.64,37,22,21,5,14,54,46,3,
2001,14,11,190.32,60,4,28,5,2,33,67,4,
2003,20,9,121.68,83,3,12,1,1,49,51,5,
2009,85,9,19.76,8,33,28,15,16,63,37,5,
2010,31,19,503.36,34,7,38,13,8,46,54,4,
2012,21,22,936,58,4,31,6,1,11,89,2,
2017,83,26,1059.76,60,7,24,2,7,20,80,5,
2020,73,19,307.84,61,5,23,7,4,57,43,4,
2023,23,30,1264.64,47,10,25,7,10,23,77,4,
2027,16,30,1467.44,23,7,61,7,3,10,90,5,
2030,6,7,68.64,56,0,34,1,9,30,70,5,
2031,65,32,1392.56,65,3,18,3,11,19,81,6,
2035,22,7,43.68,68,2,24,2,4,39,61,4,
2044,70,40,1796.08,67,2,27,3,1,43,57,5,
2050,187,8,13.52,51,10,22,13,3,59,41,4,
2057,35,39,1596.4,65,4,22,5,5,65,35,6,
2060,54,21,673.92,27,15,37,16,5,28,72,3,
2065,27,25,1130.48,39,6,22,17,16,19,81,5,
2071,61,23,516.88,72,1,26,1,1,56,44,3,
2072,62,36,1801.28,19,11,49,9,12,17,83,5,
2079,72,35,1792.96,47,12,34,5,2,13,87,5,
2083,81,44,1996.8,59,7,20,7,7,31,69,5,
2091,91,46,2507.44,28,6,55,3,8,9,91,6,
2097,23,11,42.64,23,10,34,9,24,76,24,3,
2098,42,42,1798.16,47,9,32,7,5,53,47,4,
2106,76,32,1534,52,5,37,0,5,12,88,4,
2117,81,14,228.8,61,6,25,1,8,48,52,3,
2125,42,7,19.76,92,0,7,0,0,60,40,4,
2126,92,29,1190.8,56,6,30,2,6,28,72,6,
2131,48,21,449.28,82,1,14,1,2,70,30,3,
2135,69,41,2061.28,66,1,25,6,2,13,87,5,
2152,50,9,34.32,31,20,34,1,14,64,36,3,
2161,16,14,460.72,66,1,25,2,7,24,76,2,
2163,9,6,33.28,38,20,9,25,8,35,65,4,
2165,56,41,1860.56,30,15,33,16,6,43,57,5,
2168,4,29,1058.72,58,10,23,0,9,40,60,5,
2172,33,48,2569.84,71,1,21,4,3,11,89,4,
2175,92,34,1725.36,37,8,44,5,6,12,88,5,
2178,62,7,31.2,19,5,8,24,44,41,59,3,Yes
2182,49,12,94.64,67,1,22,3,7,64,36,3,
2185,65,8,42.64,36,6,38,13,7,63,37,4,
2186,40,27,929.76,77,2,13,4,4,46,54,5,
2188,14,36,1732.64,47,2,48,2,1,12,88,4,
2190,43,11,44.72,27,6,50,11,7,62,38,4,
2191,479,7,14.56,74,2,23,1,0,68,32,4,
2198,9,7,41.6,37,8,48,2,5,50,50,2,
2204,37,11,42.64,33,5,45,6,12,67,33,5,
2205,38,14,515.84,49,6,32,3,10,11,89,3,
2211,18,10,41.6,55,3,28,1,13,72,28,5,
2217,28,18,626.08,37,14,39,6,4,17,83,3,
2219,48,41,2064.4,14,6,57,21,2,10,90,6,
2221,26,11,126.88,40,8,37,2,13,36,64,4,
2225,340,5,20.8,87,0,12,0,1,29,71,3,
2235,35,13,92.56,7,9,34,30,20,70,30,5,
2242,66,25,1131.52,22,1,51,18,8,13,87,2,
2244,51,17,500.24,51,6,23,2,18,37,63,5,
2246,99,20,447.2,83,1,11,1,3,54,46,5,
2247,92,31,1060.8,90,1,9,0,0,54,46,5,
2248,83,35,1794,15,5,44,14,22,10,90,6,
2256,28,16,315.12,90,0,9,0,0,56,44,4,
2258,212,8,20.8,32,2,40,8,19,54,46,4,
2262,96,17,614.64,53,8,32,4,3,10,90,3,
2267,20,27,930.8,96,0,4,0,0,47,53,5,
2272,6,18,312,77,2,19,0,2,47,53,3,
2275,30,18,458.64,69,5,24,1,1,38,62,3,
2278,483,8,19.76,23,11,43,6,17,42,58,3,
2279,74,38,1933.36,32,4,51,6,8,13,87,5,
2284,0,11,66.56,84,3,8,3,2,63,37,3,
2288,80,31,1050.4,74,1,16,5,4,60,40,4,
2302,84,30,1457.04,19,11,39,16,15,16,84,4,
2306,46,14,157.04,87,0,11,1,1,58,42,3,
2307,61,12,66.56,7,21,32,15,26,72,28,4,
2310,178,6,17.68,58,6,32,3,1,46,54,3,
2312,59,17,268.32,80,0,18,1,1,52,48,5,
2318,43,9,49.92,28,24,31,3,14,57,43,4,
2326,98,24,744.64,67,4,19,8,2,53,47,4,
2330,44,25,1131.52,54,5,35,5,1,15,85,5,
2331,77,27,1054.56,39,9,36,5,11,29,71,4,
2333,60,19,461.76,67,8,12,3,10,44,56,3,
2340,53,10,124.8,37,5,48,4,6,56,44,2,
2341,62,47,2439.84,28,3,55,8,7,15,85,4,
2346,75,18,269.36,67,0,21,8,4,73,27,3,
2347,17,28,1336.4,44,7,34,9,6,13,87,5,No
2351,34,34,1597.44,56,8,28,7,2,14,86,4,
2367,86,16,225.68,15,13,52,14,6,51,49,5,
2369,0,10,229.84,61,5,27,5,1,33,67,3,
2371,83,9,44.72,74,3,20,1,2,59,41,2,
2373,64,15,191.36,32,6,52,4,6,58,42,5,
2378,5,39,1933.36,78,1,19,1,1,19,81,5,
2379,35,36,1732.64,49,4,33,10,4,15,85,6,
2381,29,20,793.52,9,17,52,19,3,16,84,5,
2384,12,34,1592.24,61,2,30,5,1,20,80,6,
2392,68,27,1262.56,39,8,37,8,9,10,90,5,
2393,540,8,19.76,47,12,33,6,2,52,48,5,
2394,30,12,62.4,38,4,53,0,5,74,26,5,
2399,70,47,2506.4,45,8,29,13,4,11,89,6,
2403,22,9,31.2,19,17,21,33,9,55,45,4,
2405,4,6,43.68,68,15,13,2,2,51,49,3,
2407,4,8,34.32,45,1,27,13,14,52,48,2,
2416,12,16,270.4,46,14,25,3,11,62,38,2,
2419,46,37,1867.84,40,4,48,5,3,15,85,6,
2421,41,42,2124.72,18,4,65,5,8,22,78,5,
2424,30,9,30.16,10,29,34,21,6,64,36,3,
2426,20,27,985.92,58,11,28,3,0,34,66,6,
2432,52,11,38.48,15,39,23,22,1,62,38,5,
2434,49,33,1259.44,59,2,35,3,1,51,49,6,
2437,67,23,511.68,14,0,46,8,32,68,32,4,
2440,80,33,1470.56,72,4,17,2,6,35,65,5,
2442,48,17,310.96,91,0,7,1,1,65,35,3,
2445,89,8,94.64,41,1,51,4,4,48,52,3,
2446,5,31,1116.96,72,3,20,4,1,34,66,6,
2461,21,32,1466.4,27,7,52,6,8,26,74,5,
2462,31,17,273.52,78,2,18,0,1,60,40,2,
2467,1,24,735.28,86,1,12,1,0,38,62,5,
2472,59,27,995.28,67,6,20,6,0,33,67,5,
2473,20,25,739.44,69,0,26,1,4,39,61,4,
2474,58,19,628.16,78,5,14,1,2,32,68,4,
2475,51,25,872.56,68,9,17,4,2,29,71,3,
2477,11,38,1736.8,63,10,22,5,0,32,68,5,
2479,94,13,74.88,31,5,44,15,6,65,35,3,
2484,16,25,871.52,49,4,39,4,4,26,74,3,
2486,32,41,2060.24,34,19,31,13,3,11,89,5,
2493,298,6,9.36,24,7,41,14,14,59,41,5,
2503,77,21,614.64,49,15,15,4,16,38,62,3,
2506,73,13,71.76,12,36,18,20,14,67,33,3,Yes
2508,78,45,2378.48,29,0,55,15,1,10,90,5,
2510,63,31,1051.44,72,6,16,1,5,62,38,6,
2511,50,18,314.08,89,1,8,0,2,62,38,3,
2515,75,24,680.16,71,1,22,4,3,50,50,2,
2518,12,18,455.52,75,6,13,2,3,41,59,4,
2523,34,41,1924,39,6,50,4,1,20,80,5,
2524,75,11,126.88,17,9,15,20,39,45,55,3,
2528,317,8,17.68,82,0,14,2,2,60,40,4,
2529,27,10,124.8,86,2,11,1,0,44,56,3,
2532,61,18,404.56,94,1,4,1,1,58,42,5,
2541,51,11,66.56,26,8,52,8,5,57,43,2,
2543,83,9,43.68,41,2,35,12,9,48,52,4,
2545,0,27,796.64,60,5,25,7,3,66,34,4,
2546,87,8,90.48,42,8,21,8,21,25,75,3,
2547,100,41,2061.28,66,2,26,4,2,16,84,6,
2552,7,15,365.04,28,6,55,6,5,36,64,5,
2555,80,46,2445.04,46,5,34,8,7,8,92,4,
2560,35,10,190.32,17,4,50,5,24,39,61,5,
2561,66,27,1119.04,47,8,28,13,4,23,77,5,
2562,80,17,305.76,65,4,25,6,1,69,31,2,
2567,66,20,505.44,67,6,19,3,5,44,56,3,
2571,96,13,70.72,40,4,48,1,7,60,40,4,
2577,80,9,47.84,81,1,15,2,1,44,56,3,
2579,23,19,625.04,40,15,36,8,1,27,73,5,
2581,72,31,1189.76,87,2,9,0,1,44,56,4,
2586,24,20,809.12,28,5,45,11,11,21,79,4,
2588,26,7,93.6,82,1,15,1,2,39,61,5,
2597,43,11,34.32,9,40,19,16,16,67,33,3,
2603,90,28,998.4,85,1,10,2,2,43,57,6,
2606,50,10,158.08,85,0,14,0,1,45,55,4,
2609,6,7,43.68,17,29,20,18,16,45,55,5,
2612,84,18,621.92,55,3,34,4,4,19,81,4,
2621,21,30,1400.88,43,3,43,8,3,21,79,5,
2627,50,18,411.84,49,14,34,3,0,37,63,3,
2628,66,10,42.64,53,4,38,4,1,64,36,4,
2629,23,17,274.56,65,3,28,2,2,60,40,4,
2631,36,9,35.36,76,0,20,1,2,50,50,2,
2638,90,9,34.32,56,7,33,3,1,65,35,5,
2640,15,39,1931.28,31,6,41,15,7,10,90,6,
2641,3,13,274.56,28,13,27,15,17,23,77,4,
2647,3,33,1664,25,7,63,4,1,13,87,5,
2649,96,35,1590.16,50,3,43,3,1,16,84,6,No
2658,53,10,56.16,68,1,23,3,4,55,45,4,
2659,9,14,194.48,89,0,9,0,1,51,49,3,
2661,89,11,94.64,52,3,33,2,11,61,39,5,
2662,46,40,1926.08,75,1,17,6,1,29,71,5,
2668,90,32,1534,42,12,35,6,4,11,89,4,
2670,22,9,48.88,38,0,43,13,6,61,39,5,
2671,44,10,41.6,30,5,50,14,2,64,36,2,
2677,29,32,1461.2,85,4,8,3,0,32,68,5,
2681,46,9,29.12,34,8,39,3,16,67,33,4,Yes
2692,53,17,272.48,78,2,15,5,0,50,50,3,
2696,39,22,804.96,54,0,38,5,3,39,61,2,
2700,95,29,992.16,77,0,22,0,0,56,44,5,
2702,13,21,511.68,90,1,8,1,0,45,55,4,
2705,31,9,93.6,78,3,17,0,2,44,56,4,
2717,78,17,353.6,67,3,25,5,0,60,40,5,
2718,38,16,402.48,52,9,21,6,12,43,57,4,
2720,84,6,42.64,41,3,45,7,4,36,64,5,
2721,17,37,1528.8,82,0,16,1,1,53,47,5,
2724,93,10,68.64,64,1,30,3,2,53,47,2,
2725,71,15,158.08,55,6,38,0,1,66,34,4,
2727,71,29,1251.12,39,3,46,12,0,18,82,6,
2729,1,11,69.68,14,14,35,20,16,48,52,4,
2730,7,8,47.84,39,8,16,32,4,39,61,4,
2731,15,9,93.6,63,6,27,4,0,39,61,5,
2734,207,9,19.76,27,0,49,12,12,64,36,4,
2738,265,6,20.8,49,2,41,3,5,45,55,3,
2746,60,18,509.6,67,0,23,1,9,41,59,2,
2754,74,22,864.24,70,6,19,4,1,24,76,4,
2761,87,33,1134.64,80,4,15,1,0,68,32,5,
2767,69,19,356.72,79,1,8,9,2,60,40,5,
2778,18,7,40.56,66,2,21,5,6,58,42,3,
2792,77,7,28.08,31,11,43,7,7,58,42,3,
2793,13,11,78,25,14,37,17,7,64,36,4,
2794,75,33,1600.56,20,19,40,9,12,12,88,6,
2795,124,5,20.8,52,0,26,9,13,42,58,4,
2796,18,25,993.2,48,8,27,4,14,26,74,3,
2802,47,35,1469.52,91,1,6,1,1,35,65,5,
2803,29,9,52,43,0,38,9,10,58,42,5,
2807,8,26,1200.16,37,14,34,1,14,16,84,5,
2809,1,40,1935.44,26,9,49,9,8,24,76,4,
2814,9,8,41.6,40,5,42,6,6,60,40,5,No
2817,35,8,66.56,64,1,30,3,2,43,57,4,
2819,1,15,269.36,60,3,31,4,3,56,44,3,
2821,89,10,68.64,55,3,36,4,2,69,31,2,
2824,57,10,52,18,15,45,12,10,57,43,3,
2826,46,35,1797.12,57,1,39,1,3,12,88,5,
2827,70,26,1190.8,43,1,45,5,6,11,89,4,
2829,46,9,38.48,86,1,11,1,1,59,41,4,
2830,23,12,122.72,93,0,6,0,1,57,43,2,
2831,33,17,308.88,74,1,21,3,1,58,42,3,
2832,90,46,2440.88,45,1,38,5,11,10,90,4,
2835,67,21,570.96,36,6,46,6,7,43,57,4,No
2841,41,33,1589.12,36,6,29,13,16,16,84,5,
2843,41,9,32.24,16,24,32,17,11,62,38,2,
2851,27,31,1256.32,87,1,12,0,0,24,76,5,
2857,88,24,628.16,89,1,7,2,1,55,45,3,
2863,40,28,1319.76,23,34,26,6,11,19,81,6,
2864,90,16,231.92,73,2,21,2,2,60,40,3,
2875,67,11,47.84,8,19,23,18,32,70,30,4,
2880,464,8,15.6,31,2,50,4,13,73,27,3,
2881,44,7,35.36,71,0,25,2,2,56,44,3,
2885,45,11,43.68,23,11,36,14,17,72,28,2,
2889,49,14,410.8,71,12,10,4,3,29,71,3,
2891,520,7,15.6,52,6,37,3,2,68,32,2,
2897,19,37,1869.92,58,2,37,1,2,16,84,5,
2902,8,32,1593.28,41,7,47,2,3,11,89,4,
2908,78,7,57.2,53,2,35,6,4,40,60,3,
2911,24,9,52,12,34,23,15,16,54,46,2,
2915,22,20,450.32,63,7,22,7,1,46,54,3,
2918,22,20,451.36,70,0,26,3,0,54,46,2,
2923,45,9,66.56,81,1,13,2,3,48,52,4,
2924,220,7,8.32,70,5,22,2,2,69,31,5,
2925,5,11,55.12,64,2,28,2,4,60,40,3,
